Pk,Rookie_WS,Sophomore_WS,Third_WS,Sophomore_AVG,Third_AVG
0,1.4800158646218928,2.8234955050237964,3.268751983077736,2.1517556848228443,2.5240877842411416
1,1.454654680063458,2.775450026441036,3.2150941300898994,2.115052353252247,2.4817329455314647
2,1.4292934955050236,2.727404547858276,3.161436277102062,2.0783490216816496,2.4393781068217875
3,1.4039323109465889,2.679359069275516,3.107778424114225,2.0416456901110522,2.3970232681121093
4,1.3785711263881542,2.6313135906927547,3.054120571126388,2.0049423585404544,2.354668429402432
5,1.3532099418297197,2.583268112109994,3.0004627181385506,1.9682390269698569,2.3123135906927548
6,1.3278487572712847,2.535222633527233,2.9468048651507135,1.931535695399259,2.269958751983077
7,1.30248757271285,2.4871771549444732,2.8931470121628764,1.8948323638286617,2.2276039132734
8,1.2771263881544155,2.439131676361713,2.83948915917504,1.858129032258064,2.185249074563722
9,1.2517652035959808,2.391086197778953,2.785831306187202,1.8214257006874668,2.1428942358540453
10,1.226404019037546,2.3430407191961917,2.7321734531993647,1.784722369116869,2.100539397144368
11,1.2010428344791113,2.2949952406134315,2.678515600211528,1.7480190375462716,2.0581845584346903
12,1.1756816499206768,2.2469497620306713,2.6248577472236905,1.7113157059756738,2.0158297197250126
13,1.150320465362242,2.1989042834479107,2.571199894235854,1.6746123744050763,1.9734748810153353
14,1.1249592808038074,2.1508588048651505,2.5175420412480163,1.637909042834479,1.931120042305658
15,1.0995980962453724,2.10281332628239,2.4638841882601796,1.6012057112638811,1.8887652035959808
16,1.074236911686938,2.0547678476996296,2.410226335272342,1.5645023796932838,1.8464103648863037
17,1.0488757271285032,2.006722369116869,2.356568482284505,1.527799048122686,1.8040555261766253
18,1.0235145425700687,1.9586768905341088,2.302910629296668,1.4910957165520888,1.7617006874669485
19,0.9981533580116337,1.9106314119513486,2.2492527763088312,1.454392384981491,1.7193458487572713
20,0.9727921734531992,1.8625859333685881,2.1955949233209937,1.4176890534108937,1.6769910100475935
21,0.9474309888947644,1.8145404547858281,2.141937070333157,1.380985721840296,1.6346361713379163
22,0.9220698043363299,1.766494976203067,2.08827921734532,1.3442823902696985,1.592281332628239
23,0.8967086197778951,1.7184494976203066,2.0346213643574824,1.3075790586991007,1.549926493918561
24,0.8713474352194603,1.6704040190375458,1.980963511369645,1.270875727128503,1.5075716552088836
25,0.8459862506610257,1.6223585404547856,1.9273056583818078,1.2341723955579056,1.4652168164992063
26,0.820625066102591,1.5743130618720254,1.873647805393972,1.197469063987308,1.4228619777895297
27,0.7952638815441564,1.526267583289265,1.819989952406134,1.1607657324167109,1.3805071390798516
28,0.7699026969857217,1.4782221047065043,1.7663320994182967,1.1240624008461126,1.3381523003701745
29,0.7445415124272869,1.4301766261237439,1.7126742464304598,1.0873590692755157,1.295797461660497
30,0.7191803278688523,1.3821311475409837,1.6590163934426225,1.050655737704918,1.2534426229508193
31,0.6938191433104176,1.334085668958223,1.6053585404547857,1.0139524061343201,1.2110877842411418
32,0.668457958751983,1.2860401903754626,1.5517006874669483,0.9772490745637228,1.1687329455314648
33,0.6430967741935483,1.2379947117927022,1.4980428344791112,0.9405457429931252,1.1263781068217873
