Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
54,WAS,Arsalan Kazemi,2013,2014,2015,2016
55,MEM,Joffrey Lauvergne,2013,2014,2015,2016
56,DET,Peyton Siva,2013,2014,2015,2016
57,PHO,Alex Oriakhi,2013,2014,2015,2016
58,SAS,Deshaun Thomas,2013,2014,2015,2016
59,MIN,Bojan DubljeviÄ,2013,2014,2015,2016
60,MEM,JÄnis Timma,2013,2014,2015,2016
1,CLE,Andrew Wiggins,2014,2015,2016,2017
2,MIL,Jabari Parker,2014,2015,2016,2017
3,PHI,Joel Embiid,2014,2015,2016,2017
4,ORL,Aaron Gordon,2014,2015,2016,2017
5,UTA,Dante Exum,2014,2015,2016,2017
6,BOS,Marcus Smart,2014,2015,2016,2017
7,LAL,Julius Randle,2014,2015,2016,2017
8,SAC,Nik Stauskas,2014,2015,2016,2017
9,CHO,Noah Vonleh,2014,2015,2016,2017
10,PHI,Elfrid Payton,2014,2015,2016,2017
11,DEN,Doug McDermott,2014,2015,2016,2017
12,ORL,Dario Å ariÄ,2014,2015,2016,2017
13,MIN,Zach LaVine,2014,2015,2016,2017
14,PHO,T.J. Warren,2014,2015,2016,2017
15,ATL,Adreian Payne,2014,2015,2016,2017
16,CHI,Jusuf NurkiÄ,2014,2015,2016,2017
17,BOS,James Young,2014,2015,2016,2017
18,PHO,Tyler Ennis,2014,2015,2016,2017
19,CHI,Gary Harris,2014,2015,2016,2017
20,TOR,Bruno Caboclo,2014,2015,2016,2017
21,OKC,Mitch McGary,2014,2015,2016,2017
22,MEM,Jordan Adams,2014,2015,2016,2017
23,UTA,Rodney Hood,2014,2015,2016,2017
24,CHO,Shabazz Napier,2014,2015,2016,2017
25,HOU,Clint Capela,2014,2015,2016,2017
26,MIA,P.J. Hairston,2014,2015,2016,2017
27,PHO,Bogdan BogdanoviÄ,2014,2015,2016,2017
28,LAC,C.J. Wilcox,2014,2015,2016,2017
29,OKC,Josh Huestis,2014,2015,2016,2017
30,SAS,Kyle Anderson,2014,2015,2016,2017
,,Round 2,2014,2015,2016,2017
Pk,Tm,Player,2014,2015,2016,2017
31,MIL,Damien Inglis,2014,2015,2016,2017
32,PHI,K.J. McDaniels,2014,2015,2016,2017
33,CLE,Joe Harris,2014,2015,2016,2017
34,NYK,Cleanthony Early,2014,2015,2016,2017
35,UTA,Jarnell Stokes,2014,2015,2016,2017
36,MIL,Johnny O'Bryant,2014,2015,2016,2017
37,TOR,DeAndre Daniels,2014,2015,2016,2017
38,DET,Spencer Dinwiddie,2014,2015,2016,2017
39,PHI,Jerami Grant,2014,2015,2016,2017
40,MIN,Glenn Robinson III,2014,2015,2016,2017
41,DEN,Nikola JokiÄ,2014,2015,2016,2017
42,HOU,Nick Johnson,2014,2015,2016,2017
43,ATL,Edy Tavares,2014,2015,2016,2017
44,MIN,Markel Brown,2014,2015,2016,2017
45,CHO,Dwight Powell,2014,2015,2016,2017
46,WAS,Jordan Clarkson,2014,2015,2016,2017
47,PHI,Russ Smith,2014,2015,2016,2017
48,MIL,Lamar Patterson,2014,2015,2016,2017
49,CHI,Cameron Bairstow,2014,2015,2016,2017
50,PHO,Alec Brown,2014,2015,2016,2017
51,NYK,Thanasis Antetokounmpo,2014,2015,2016,2017
52,PHI,Vasilije MiciÄ,2014,2015,2016,2017
