Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
14,BOS,Aaron Nesmith,2020,2021,2022,2023
15,ORL,Cole Anthony,2020,2021,2022,2023
16,POR,Isaiah Stewart,2020,2021,2022,2023
17,MIN,Aleksej Pokusevski,2020,2021,2022,2023
18,DAL,Josh Green,2020,2021,2022,2023
19,BRK,Saddiq Bey,2020,2021,2022,2023
20,MIA,Precious Achiuwa,2020,2021,2022,2023
21,PHI,Tyrese Maxey,2020,2021,2022,2023
22,DEN,Zeke Nnaji,2020,2021,2022,2023
23,NYK,Leandro Bolmaro,2020,2021,2022,2023
24,MIL,R.J. Hampton,2020,2021,2022,2023
25,OKC,Immanuel Quickley,2020,2021,2022,2023
26,BOS,Payton Pritchard,2020,2021,2022,2023
27,UTA,Udoka Azubuike,2020,2021,2022,2023
28,LAL,Jaden McDaniels,2020,2021,2022,2023
29,TOR,Malachi Flynn,2020,2021,2022,2023
30,BOS,Desmond Bane,2020,2021,2022,2023
,,Round 2,2020,2021,2022,2023
Pk,Tm,Player,2020,2021,2022,2023
31,DAL,Tyrell Terry,2020,2021,2022,2023
32,CHO,Vernon Carey Jr.,2020,2021,2022,2023
33,MIN,Daniel Oturu,2020,2021,2022,2023
34,PHI,ThÃ©o Maledon,2020,2021,2022,2023
35,SAC,Xavier Tillman Sr.,2020,2021,2022,2023
36,PHI,Tyler Bey,2020,2021,2022,2023
37,WAS,Vit Krejci,2020,2021,2022,2023
38,UTA,Saben Lee,2020,2021,2022,2023
39,NOP,Elijah Hughes,2020,2021,2022,2023
40,MEM,Robert Woodard II,2020,2021,2022,2023
41,SAS,Tre Jones,2020,2021,2022,2023
42,NOP,Nick Richards,2020,2021,2022,2023
43,SAC,Jahmi'us Ramsey,2020,2021,2022,2023
44,CHI,Marko Simonovic,2020,2021,2022,2023
45,MIL,Jordan Nwora,2020,2021,2022,2023
46,POR,CJ Elleby,2020,2021,2022,2023
47,BOS,Yam Madar,2020,2021,2022,2023
48,GSW,Nico Mannion,2020,2021,2022,2023
49,PHI,Isaiah Joe,2020,2021,2022,2023
50,ATL,Skylar Mays,2020,2021,2022,2023
51,GSW,Justinian Jessup,2020,2021,2022,2023
52,SAC,KJ Martin,2020,2021,2022,2023
53,OKC,Cassius Winston,2020,2021,2022,2023
54,IND,Cassius Stanley,2020,2021,2022,2023
55,BRK,Jay Scrubb,2020,2021,2022,2023
56,CHO,Grant Riller,2020,2021,2022,2023
57,LAC,Reggie Perry,2020,2021,2022,2023
58,PHI,Paul Reed,2020,2021,2022,2023
59,TOR,Jalen Harris,2020,2021,2022,2023
60,NOP,Sam Merrill,2020,2021,2022,2023
1,DET,Cade Cunningham,2021,2022,2023,2024
2,HOU,Jalen Green,2021,2022,2023,2024
3,CLE,Evan Mobley,2021,2022,2023,2024
4,TOR,Scottie Barnes,2021,2022,2023,2024
5,ORL,Jalen Suggs,2021,2022,2023,2024
6,OKC,Josh Giddey,2021,2022,2023,2024
7,GSW,Jonathan Kuminga,2021,2022,2023,2024
8,ORL,Franz Wagner,2021,2022,2023,2024
9,SAC,Davion Mitchell,2021,2022,2023,2024
10,NOP,Ziaire Williams,2021,2022,2023,2024
11,CHO,James Bouknight,2021,2022,2023,2024
12,SAS,Joshua Primo,2021,2022,2023,2024
13,IND,Chris Duarte,2021,2022,2023,2024
14,GSW,Moses Moody,2021,2022,2023,2024
15,WAS,Corey Kispert,2021,2022,2023,2024
16,OKC,Alperen Sengun,2021,2022,2023,2024
17,MEM,Trey Murphy III,2021,2022,2023,2024
18,OKC,Tre Mann,2021,2022,2023,2024
19,NYK,Kai Jones,2021,2022,2023,2024
20,ATL,Jalen Johnson,2021,2022,2023,2024
21,NYK,Keon Johnson,2021,2022,2023,2024
22,LAL,Isaiah Jackson,2021,2022,2023,2024
23,HOU,Usman Garuba,2021,2022,2023,2024
24,HOU,Josh Christopher,2021,2022,2023,2024
25,LAC,Quentin Grimes,2021,2022,2023,2024
26,DEN,Bones Hyland,2021,2022,2023,2024
27,BRK,Cam Thomas,2021,2022,2023,2024
28,PHI,Jaden Springer,2021,2022,2023,2024
29,PHO,Day'Ron Sharpe,2021,2022,2023,2024
30,UTA,Santi Aldama,2021,2022,2023,2024
,,Round 2,2021,2022,2023,2024
Pk,Tm,Player,2021,2022,2023,2024
31,MIL,Isaiah Todd,2021,2022,2023,2024
32,NYK,Jeremiah Robinson-Earl,2021,2022,2023,2024
33,ORL,Jason Preston,2021,2022,2023,2024
34,OKC,Rokas Jokubaitis,2021,2022,2023,2024
35,NOP,Herbert Jones,2021,2022,2023,2024
36,OKC,Miles McBride,2021,2022,2023,2024
37,DET,JT Thor,2021,2022,2023,2024
38,CHI,Ayo Dosunmu,2021,2022,2023,2024
39,SAC,Neemias Queta,2021,2022,2023,2024
40,NOP,Jared Butler,2021,2022,2023,2024
41,SAS,Joe Wieskamp,2021,2022,2023,2024
42,DET,Isaiah Livers,2021,2022,2023,2024
43,NOP,Greg Brown III,2021,2022,2023,2024
44,BRK,Kessler Edwards,2021,2022,2023,2024
45,BOS,Juhann Begarin,2021,2022,2023,2024
46,TOR,Dalano Banton,2021,2022,2023,2024
47,TOR,David Johnson,2021,2022,2023,2024
48,ATL,Sharife Cooper,2021,2022,2023,2024
49,BRK,Marcus Zegarowski,2021,2022,2023,2024
50,PHI,Filip PetruÅ¡ev,2021,2022,2023,2024
51,MEM,Brandon Boston Jr.,2021,2022,2023,2024
52,DET,Luka Garza,2021,2022,2023,2024
53,PHI,Charles Bassey,2021,2022,2023,2024
54,IND,Sandro Mamukelashvili,2021,2022,2023,2024
55,OKC,Aaron Wiggins,2021,2022,2023,2024
56,CHO,Scottie Lewis,2021,2022,2023,2024
57,CHO,BalÅ¡a Koprivica,2021,2022,2023,2024
58,NYK,Jericho Sims,2021,2022,2023,2024
59,BRK,RaiQuan Gray,2021,2022,2023,2024
60,IND,Georgios Kalaitzakis,2021,2022,2023,2024
