Player,Team,Pos,WS,WS/48,Year
A.J. Green,MIL,SG,0.8,0.111,2023
A.J. Green,MIL,SG,1.1,0.084,2024
A.J. Hammons,DAL,C,0.0,-0.001,2017
A.J. Lawson,2TM,SG,0.1,0.063,2023
A.J. Lawson,DAL,SG,0.2,0.036,2024
A.J. Price,IND,PG,0.7,0.063,2012
A.J. Price,WAS,PG,2.2,0.084,2013
A.J. Price,MIN,SG,0.0,-0.012,2014
A.J. Price,3TM,PG,0.3,0.041,2015
AJ Griffin,ATL,SF,2.2,0.075,2023
AJ Griffin,ATL,SF,-0.4,-0.12,2024
Aaron Brooks,2TM,PG,0.8,0.041,2013
Aaron Brooks,2TM,PG,2.2,0.067,2014
Aaron Brooks,CHI,PG,3.3,0.083,2015
Aaron Brooks,CHI,PG,0.9,0.04,2016
Aaron Brooks,IND,PG,0.3,0.016,2017
Aaron Brooks,MIN,PG,0.1,0.033,2018
Aaron Gordon,ORL,PF,1.0,0.06,2015
Aaron Gordon,ORL,PF,5.4,0.139,2016
Aaron Gordon,ORL,SF,3.7,0.077,2017
Aaron Gordon,ORL,PF,2.9,0.072,2018
Aaron Gordon,ORL,PF,5.1,0.093,2019
Aaron Gordon,ORL,PF,3.7,0.087,2020
Aaron Gordon,2TM,PF,1.9,0.066,2021
Aaron Gordon,DEN,PF,5.2,0.105,2022
Aaron Gordon,DEN,PF,6.8,0.158,2023
Aaron Gordon,DEN,PF,7.1,0.148,2024
Aaron Gray,TOR,C,1.4,0.082,2012
Aaron Gray,TOR,C,0.5,0.05,2013
Aaron Gray,2TM,C,0.1,0.016,2014
Aaron Harrison,CHO,SG,0.0,-0.014,2016
Aaron Harrison,CHO,SG,-0.1,-0.146,2017
Aaron Harrison,DAL,SG,-0.1,-0.014,2018
Aaron Henry,PHI,SF,-0.1,-0.306,2022
Aaron Holiday,IND,PG,0.9,0.065,2019
Aaron Holiday,IND,PG,2.1,0.063,2020
Aaron Holiday,IND,PG,0.2,0.009,2021
Aaron Holiday,2TM,PG,1.5,0.068,2022
Aaron Holiday,ATL,PG,0.9,0.053,2023
Aaron Holiday,HOU,PG,2.5,0.094,2024
Aaron Jackson,HOU,PG,0.0,-0.017,2018
Aaron Nesmith,BOS,SF,1.1,0.076,2021
Aaron Nesmith,BOS,SF,0.4,0.038,2022
Aaron Nesmith,IND,SF,2.0,0.052,2023
Aaron Nesmith,IND,SF,4.1,0.098,2024
Aaron Wiggins,OKC,SG,1.2,0.048,2022
Aaron Wiggins,OKC,SG,2.6,0.097,2023
Aaron Wiggins,OKC,SG,3.7,0.144,2024
Abdel Nader,BOS,SF,-0.1,-0.014,2018
Abdel Nader,OKC,SF,0.9,0.062,2019
Abdel Nader,OKC,SF,1.3,0.074,2020
Abdel Nader,PHO,SF,0.7,0.095,2021
Abdel Nader,PHO,SF,0.0,-0.009,2022
Adam Flagler,OKC,SG,0.0,-0.159,2024
Adam Mokoka,CHI,SF,0.2,0.073,2020
Adam Mokoka,CHI,SG,-0.1,-0.112,2021
Adama Sanogo,CHI,PF,0.2,0.133,2024
Ade Murkey,SAC,SG,0.0,-0.017,2022
Admiral Schofield,WAS,PF,0.1,0.017,2020
Admiral Schofield,ORL,SF,0.3,0.027,2022
Admiral Schofield,ORL,PF,0.8,0.089,2023
Admiral Schofield,ORL,PF,0.0,0.006,2024
Adonis Thomas,2TM,SF,0.0,0.001,2014
Adreian Payne,2TM,PF,-0.5,-0.033,2015
Adreian Payne,MIN,PF,-0.5,-0.047,2016
Adreian Payne,MIN,PF,0.2,0.086,2017
Adreian Payne,ORL,PF,0.2,0.203,2018
Ahmad Caver,IND,SG,0.0,1.204,2022
Al Harrington,DEN,PF,3.2,0.088,2012
Al Harrington,ORL,C,0.0,-0.012,2013
Al Harrington,WAS,PF,0.4,0.035,2014
Al Horford,ATL,C,1.3,0.18,2012
Al Horford,ATL,C,8.8,0.153,2013
Al Horford,ATL,C,2.8,0.141,2014
Al Horford,ATL,C,8.7,0.179,2015
Al Horford,ATL,C,9.4,0.172,2016
Al Horford,BOS,C,6.3,0.138,2017
Al Horford,BOS,C,7.8,0.165,2018
Al Horford,BOS,C,7.4,0.179,2019
Al Horford,PHI,C,5.4,0.128,2020
Al Horford,OKC,C,1.6,0.101,2021
Al Horford,BOS,C,7.6,0.181,2022
Al Horford,BOS,C,6.3,0.157,2023
Al Horford,BOS,C,6.2,0.172,2024
Al Jefferson,UTA,C,7.5,0.173,2012
Al Jefferson,UTA,C,7.7,0.143,2013
Al Jefferson,CHA,C,7.8,0.146,2014
Al Jefferson,CHO,C,4.7,0.113,2015
Al Jefferson,CHO,C,2.8,0.123,2016
Al Jefferson,IND,C,2.3,0.119,2017
Al Jefferson,IND,C,1.6,0.158,2018
Al-Farouq Aminu,NOH,SF,1.4,0.044,2012
Al-Farouq Aminu,NOH,SF,3.1,0.073,2013
Al-Farouq Aminu,NOP,SF,3.1,0.072,2014
Al-Farouq Aminu,DAL,SF,3.3,0.115,2015
Al-Farouq Aminu,POR,SF,4.0,0.082,2016
Al-Farouq Aminu,POR,PF,1.9,0.051,2017
Al-Farouq Aminu,POR,PF,4.2,0.097,2018
Al-Farouq Aminu,POR,PF,5.8,0.121,2019
Al-Farouq Aminu,ORL,PF,0.1,0.014,2020
Al-Farouq Aminu,2TM,PF,0.1,0.01,2021
Alan Anderson,TOR,SF,0.3,0.032,2012
Alan Anderson,TOR,SF,1.6,0.052,2013
Alan Anderson,BRK,SF,1.7,0.047,2014
Alan Anderson,BRK,SG,2.7,0.075,2015
Alan Anderson,WAS,SG,0.3,0.078,2016
Alan Anderson,LAC,SF,0.1,0.02,2017
Alan Williams,PHO,PF,0.2,0.146,2016
Alan Williams,PHO,C,2.1,0.142,2017
Alan Williams,PHO,PF,0.0,-0.004,2018
Alan Williams,BRK,PF,0.2,0.312,2019
Alec Burks,UTA,SG,1.5,0.076,2012
Alec Burks,UTA,SG,1.0,0.044,2013
Alec Burks,UTA,SG,3.2,0.07,2014
Alec Burks,UTA,SG,1.7,0.089,2015
Alec Burks,UTA,SG,1.5,0.09,2016
Alec Burks,UTA,SG,0.8,0.056,2017
Alec Burks,UTA,SG,1.9,0.084,2018
Alec Burks,3TM,SG,1.5,0.052,2019
Alec Burks,2TM,SF,3.7,0.101,2020
Alec Burks,NYK,SG,3.3,0.126,2021
Alec Burks,NYK,SG,6.1,0.126,2022
Alec Burks,DET,SG,2.5,0.109,2023
Alec Burks,2TM,SG,1.4,0.054,2024
Alec Peters,PHO,PF,0.3,0.055,2018
Aleem Ford,ORL,SF,-0.2,-0.103,2022
Aleksej Pokusevski,OKC,PF,-1.9,-0.084,2021
Aleksej Pokusevski,OKC,PF,0.4,0.014,2022
Aleksej Pokusevski,OKC,PF,1.0,0.066,2023
Aleksej Pokusevski,2TM,PF,0.4,0.05,2024
Alen SmailagiÄ,GSW,C,0.2,0.081,2020
Alen SmailagiÄ,GSW,PF,0.0,0.015,2021
Alex Caruso,LAL,PG,0.5,0.041,2018
Alex Caruso,LAL,PG,1.0,0.093,2019
Alex Caruso,LAL,PG,2.3,0.095,2020
Alex Caruso,LAL,PG,2.4,0.095,2021
Alex Caruso,CHI,SG,2.0,0.082,2022
Alex Caruso,CHI,PG,3.6,0.109,2023
Alex Caruso,CHI,SG,4.9,0.115,2024
Alex Fudge,2TM,SF,0.0,-0.007,2024
Alex Kirk,CLE,C,0.0,0.061,2015
Alex Len,PHO,C,0.2,0.024,2014
Alex Len,PHO,C,3.4,0.107,2015
Alex Len,PHO,C,1.3,0.035,2016
Alex Len,PHO,C,3.0,0.091,2017
Alex Len,PHO,C,4.5,0.154,2018
Alex Len,ATL,C,3.2,0.1,2019
Alex Len,2TM,C,2.5,0.122,2020
Alex Len,2TM,C,2.7,0.133,2021
Alex Len,SAC,C,0.9,0.07,2022
Alex Len,SAC,C,0.3,0.085,2023
Alex Len,SAC,C,1.3,0.138,2024
Alex Poythress,PHI,PF,0.3,0.099,2017
Alex Poythress,IND,PF,0.1,0.066,2018
Alex Poythress,ATL,PF,0.5,0.086,2019
Alex Stepheson,2TM,PF,0.1,0.068,2016
Alexey Shved,MIN,SG,0.8,0.02,2013
Alexey Shved,MIN,SG,0.2,0.017,2014
Alexey Shved,3TM,SG,2.2,0.135,2015
Alexis AjinÃ§a,NOP,C,2.1,0.104,2014
Alexis AjinÃ§a,NOP,C,3.2,0.159,2015
Alexis AjinÃ§a,NOP,C,1.0,0.058,2016
Alexis AjinÃ§a,NOP,C,1.0,0.08,2017
Alfonzo McKinnie,TOR,SF,0.1,0.084,2018
Alfonzo McKinnie,GSW,SF,2.1,0.1,2019
Alfonzo McKinnie,CLE,SF,0.2,0.014,2020
Alfonzo McKinnie,LAL,SF,0.8,0.156,2021
Alfonzo McKinnie,CHI,SF,-0.1,-0.015,2022
Alize Johnson,IND,PF,0.0,0.027,2019
Alize Johnson,IND,PF,0.3,0.111,2020
Alize Johnson,BRK,PF,0.9,0.227,2021
Alize Johnson,3TM,PF,0.1,0.041,2022
Alize Johnson,SAS,PF,-0.1,-0.099,2023
Allen Crabbe,POR,SG,0.1,0.037,2014
Allen Crabbe,POR,SG,1.3,0.088,2015
Allen Crabbe,POR,SG,4.3,0.098,2016
Allen Crabbe,POR,SG,4.2,0.089,2017
Allen Crabbe,BRK,SG,3.2,0.07,2018
Allen Crabbe,BRK,SG,0.8,0.035,2019
Allen Crabbe,2TM,SG,-0.1,-0.007,2020
Allonzo Trier,NYK,SG,0.9,0.03,2019
Allonzo Trier,NYK,SG,0.5,0.087,2020
Alondes Williams,BRK,SG,-0.1,-0.517,2023
Alondes Williams,MIA,SG,-0.1,-0.357,2024
Alonzo Gee,CLE,SG,2.4,0.063,2012
Alonzo Gee,CLE,SF,1.9,0.036,2013
Alonzo Gee,CLE,SF,0.9,0.041,2014
Alonzo Gee,2TM,SF,1.2,0.086,2015
Alonzo Gee,NOP,SF,1.9,0.056,2016
Alonzo Gee,DEN,SF,-0.1,-0.032,2017
Alperen Sengun,HOU,C,2.1,0.068,2022
Alperen Sengun,HOU,C,5.2,0.115,2023
Alperen Sengun,HOU,C,6.9,0.163,2024
Amar'e Stoudemire,NYK,PF,4.1,0.128,2012
Amar'e Stoudemire,NYK,PF,2.7,0.191,2013
Amar'e Stoudemire,NYK,C,3.8,0.124,2014
Amar'e Stoudemire,2TM,PF,3.6,0.138,2015
Amar'e Stoudemire,MIA,C,2.4,0.15,2016
Amari Bailey,CHO,PG,-0.1,-0.044,2024
Amen Thompson,HOU,SF,4.3,0.149,2024
Amida Brimah,IND,C,0.0,0.073,2021
Amile Jefferson,ORL,PF,0.4,0.258,2019
Amile Jefferson,ORL,PF,0.0,0.023,2020
Amir Coffey,LAC,SG,0.1,0.041,2020
Amir Coffey,LAC,SG,0.7,0.085,2021
Amir Coffey,LAC,SG,3.8,0.116,2022
Amir Coffey,LAC,SF,0.4,0.033,2023
Amir Coffey,LAC,SF,2.6,0.084,2024
Amir Johnson,TOR,PF,4.0,0.122,2012
Amir Johnson,TOR,PF,7.3,0.151,2013
Amir Johnson,TOR,PF,6.3,0.136,2014
Amir Johnson,TOR,PF,5.1,0.124,2015
Amir Johnson,BOS,PF,5.9,0.158,2016
Amir Johnson,BOS,PF,5.0,0.149,2017
Amir Johnson,PHI,C,4.1,0.169,2018
Amir Johnson,PHI,C,1.1,0.098,2019
Anderson VarejÃ£o,CLE,C,2.1,0.131,2012
Anderson VarejÃ£o,CLE,C,3.3,0.173,2013
Anderson VarejÃ£o,CLE,C,5.4,0.144,2014
Anderson VarejÃ£o,CLE,C,1.9,0.145,2015
Anderson VarejÃ£o,2TM,C,1.0,0.101,2016
Anderson VarejÃ£o,GSW,C,0.2,0.097,2017
Anderson VarejÃ£o,CLE,C,0.0,-0.029,2021
Andray Blatche,WAS,PF,-0.1,-0.011,2012
Andray Blatche,BRK,C,4.9,0.153,2013
Andray Blatche,BRK,PF,3.7,0.109,2014
Andre Dawkins,MIA,SG,-0.1,-0.172,2015
Andre Drummond,DET,C,4.5,0.172,2013
Andre Drummond,DET,C,9.9,0.182,2014
Andre Drummond,DET,C,7.7,0.147,2015
Andre Drummond,DET,C,7.4,0.133,2016
Andre Drummond,DET,C,6.7,0.133,2017
Andre Drummond,DET,C,10.3,0.189,2018
Andre Drummond,DET,C,10.0,0.181,2019
Andre Drummond,2TM,C,4.2,0.108,2020
Andre Drummond,2TM,C,2.0,0.077,2021
Andre Drummond,2TM,C,5.1,0.17,2022
Andre Drummond,CHI,C,2.8,0.159,2023
Andre Drummond,CHI,C,4.9,0.175,2024
Andre Emmett,NJN,SF,0.1,0.089,2012
Andre Iguodala,PHI,SF,7.3,0.158,2012
Andre Iguodala,DEN,SG,5.6,0.097,2013
Andre Iguodala,GSW,SF,5.8,0.135,2014
Andre Iguodala,GSW,SF,5.1,0.117,2015
Andre Iguodala,GSW,SF,4.4,0.122,2016
Andre Iguodala,GSW,SF,6.9,0.167,2017
Andre Iguodala,GSW,SF,3.2,0.094,2018
Andre Iguodala,GSW,SF,4.2,0.129,2019
Andre Iguodala,MIA,SF,0.6,0.065,2020
Andre Iguodala,MIA,SF,1.7,0.062,2021
Andre Iguodala,GSW,SF,1.6,0.125,2022
Andre Iguodala,GSW,PF,0.1,0.044,2023
Andre Ingram,LAL,SG,0.2,0.157,2018
Andre Ingram,LAL,SG,-0.1,-0.408,2019
Andre Jackson Jr.,MIL,SG,1.0,0.081,2024
Andre Miller,DEN,SG,2.9,0.078,2012
Andre Miller,DEN,PG,5.4,0.12,2013
Andre Miller,2TM,SG,2.2,0.108,2014
Andre Miller,2TM,PG,2.2,0.084,2015
Andre Miller,2TM,PG,1.0,0.1,2016
Andre Roberson,OKC,SG,0.8,0.099,2014
Andre Roberson,OKC,SG,2.1,0.079,2015
Andre Roberson,OKC,SG,3.4,0.105,2016
Andre Roberson,OKC,SF,4.2,0.085,2017
Andre Roberson,OKC,SG,2.2,0.1,2018
Andre Roberson,OKC,SF,0.0,-0.017,2020
Andre Roberson,BRK,SG,-0.1,-0.043,2021
Andrea Bargnani,TOR,C,2.2,0.104,2012
Andrea Bargnani,TOR,PF,0.1,0.007,2013
Andrea Bargnani,NYK,C,1.5,0.058,2014
Andrea Bargnani,NYK,C,0.9,0.058,2015
Andrea Bargnani,BRK,C,0.2,0.013,2016
Andrei Kirilenko,MIN,SF,6.0,0.142,2013
Andrei Kirilenko,BRK,PF,1.3,0.07,2014
Andrei Kirilenko,BRK,SF,0.0,-0.058,2015
Andrew Bogut,MIL,C,0.5,0.062,2012
Andrew Bogut,GSW,C,1.7,0.106,2013
Andrew Bogut,GSW,C,6.5,0.176,2014
Andrew Bogut,GSW,C,5.2,0.159,2015
Andrew Bogut,GSW,C,5.4,0.18,2016
Andrew Bogut,2TM,C,0.7,0.055,2017
Andrew Bogut,LAL,C,0.4,0.094,2018
Andrew Bogut,GSW,C,0.3,0.111,2019
Andrew Bynum,LAL,C,8.0,0.183,2012
Andrew Bynum,2TM,C,0.4,0.038,2014
Andrew Funk,CHI,SG,-0.1,-0.252,2024
Andrew Goudelock,LAL,SG,0.1,0.011,2012
Andrew Goudelock,LAL,SG,0.0,-0.264,2013
Andrew Goudelock,HOU,PG,0.0,-0.033,2016
Andrew Harrison,MEM,PG,1.6,0.051,2017
Andrew Harrison,MEM,PG,1.7,0.062,2018
Andrew Harrison,3TM,PG,-0.1,-0.027,2019
Andrew Nembhard,IND,SG,1.2,0.029,2023
Andrew Nembhard,IND,PG,2.0,0.057,2024
Andrew Nicholson,ORL,PF,1.7,0.065,2013
Andrew Nicholson,ORL,PF,0.6,0.025,2014
Andrew Nicholson,ORL,PF,0.1,0.007,2015
Andrew Nicholson,ORL,PF,1.6,0.092,2016
Andrew Nicholson,2TM,PF,-0.1,-0.019,2017
Andrew White,ATL,SF,-0.1,-0.034,2018
Andrew Wiggins,MIN,SF,2.1,0.034,2015
Andrew Wiggins,MIN,SF,4.1,0.069,2016
Andrew Wiggins,MIN,SF,4.2,0.066,2017
Andrew Wiggins,MIN,SF,2.1,0.034,2018
Andrew Wiggins,MIN,SF,0.6,0.012,2019
Andrew Wiggins,2TM,SF,1.9,0.05,2020
Andrew Wiggins,GSW,PF,3.9,0.08,2021
Andrew Wiggins,GSW,SF,5.1,0.105,2022
Andrew Wiggins,GSW,SF,2.3,0.091,2023
Andrew Wiggins,GSW,SF,2.8,0.07,2024
Andris BiedriÅÅ¡,GSW,C,1.3,0.085,2012
Andris BiedriÅÅ¡,GSW,C,1.1,0.102,2013
Andris BiedriÅÅ¡,UTA,C,0.0,-0.033,2014
AndrÃ©s Nocioni,PHI,SF,-0.2,-0.139,2012
Anfernee Simons,POR,SG,0.1,0.02,2019
Anfernee Simons,POR,SG,0.2,0.005,2020
Anfernee Simons,POR,SG,1.8,0.078,2021
Anfernee Simons,POR,SG,1.9,0.055,2022
Anfernee Simons,POR,SG,2.5,0.054,2023
Anfernee Simons,POR,SG,2.2,0.068,2024
Antawn Jamison,CLE,PF,3.1,0.07,2012
Antawn Jamison,LAL,PF,4.3,0.126,2013
Antawn Jamison,LAC,PF,0.1,0.019,2014
Ante Å½iÅ¾iÄ,CLE,C,1.0,0.231,2018
Ante Å½iÅ¾iÄ,CLE,C,2.0,0.087,2019
Ante Å½iÅ¾iÄ,CLE,C,0.5,0.106,2020
Anthony Bennett,CLE,PF,-0.4,-0.028,2014
Anthony Bennett,MIN,PF,0.3,0.017,2015
Anthony Bennett,TOR,PF,0.1,0.054,2016
Anthony Bennett,BRK,PF,0.5,0.09,2017
Anthony Black,ORL,PG,1.6,0.067,2024
Anthony Brown,LAL,SF,-0.3,-0.024,2016
Anthony Brown,2TM,SF,0.0,0.001,2017
Anthony Brown,MIN,SF,0.0,0.571,2018
Anthony Carter,TOR,PG,0.0,0.001,2012
Anthony Davis,NOH,PF,6.1,0.159,2013
Anthony Davis,NOP,PF,10.4,0.212,2014
Anthony Davis,NOP,PF,14.0,0.274,2015
Anthony Davis,NOP,C,7.2,0.16,2016
Anthony Davis,NOP,C,11.0,0.195,2017
Anthony Davis,NOP,PF,13.7,0.241,2018
Anthony Davis,NOP,C,9.5,0.247,2019
Anthony Davis,LAL,PF,11.1,0.25,2020
Anthony Davis,LAL,PF,3.7,0.152,2021
Anthony Davis,LAL,C,4.5,0.155,2022
Anthony Davis,LAL,C,9.0,0.226,2023
Anthony Davis,LAL,C,11.8,0.21,2024
Anthony Edwards,MIN,SG,0.8,0.017,2021
Anthony Edwards,MIN,SG,4.3,0.084,2022
Anthony Edwards,MIN,SG,3.8,0.064,2023
Anthony Edwards,MIN,SG,7.5,0.13,2024
Anthony Gill,WAS,PF,0.6,0.123,2021
Anthony Gill,WAS,PF,1.4,0.14,2022
Anthony Gill,WAS,PF,1.3,0.101,2023
Anthony Gill,WAS,PF,0.4,0.038,2024
Anthony Lamb,HOU,SF,0.2,0.023,2021
Anthony Lamb,SAS,SF,0.0,-0.138,2022
Anthony Lamb,GSW,SF,2.4,0.096,2023
Anthony Morrow,NJN,SG,1.7,0.051,2012
Anthony Morrow,2TM,SG,0.7,0.084,2013
Anthony Morrow,NOP,SG,2.4,0.081,2014
Anthony Morrow,OKC,SG,5.7,0.151,2015
Anthony Morrow,OKC,SG,1.9,0.097,2016
Anthony Morrow,2TM,SG,1.2,0.083,2017
Anthony Parker,CLE,SF,1.4,0.052,2012
Anthony Randolph,MIN,PF,1.1,0.099,2012
Anthony Randolph,DEN,PF,0.5,0.073,2013
Anthony Randolph,DEN,PF,0.6,0.055,2014
Anthony Tolliver,MIN,SF,0.9,0.049,2012
Anthony Tolliver,ATL,SF,1.2,0.059,2013
Anthony Tolliver,CHA,PF,3.2,0.117,2014
Anthony Tolliver,2TM,PF,2.7,0.092,2015
Anthony Tolliver,DET,PF,2.8,0.1,2016
Anthony Tolliver,SAC,PF,2.3,0.075,2017
Anthony Tolliver,DET,PF,5.3,0.146,2018
Anthony Tolliver,MIN,PF,1.2,0.052,2019
Anthony Tolliver,3TM,PF,0.5,0.026,2020
Anthony Tolliver,PHI,PF,0.1,0.025,2021
Antonio Blakeney,CHI,SG,0.0,-0.006,2018
Antonio Blakeney,CHI,SG,-0.5,-0.03,2019
Antonius Cleveland,2TM,SG,0.0,-0.006,2018
Antonius Cleveland,DAL,SG,-0.1,-0.076,2020
AnÅ¾ejs PaseÄÅiks,WAS,C,0.5,0.054,2020
AnÅ¾ejs PaseÄÅiks,WAS,C,-0.1,-1.113,2021
Archie Goodwin,PHO,SG,0.2,0.018,2014
Archie Goodwin,PHO,SG,0.2,0.014,2015
Archie Goodwin,PHO,PG,0.1,0.004,2016
Archie Goodwin,2TM,SG,0.7,0.153,2017
Arinze Onuaku,2TM,PF,0.0,-0.044,2014
Arinze Onuaku,MIN,C,0.3,0.197,2015
Arinze Onuaku,ORL,C,0.0,-0.005,2017
Armon Johnson,2TM,PG,0.1,0.05,2012
Armoni Brooks,HOU,SG,0.3,0.03,2021
Armoni Brooks,2TM,SG,0.2,0.014,2022
Armoni Brooks,BRK,PG,0.0,-0.018,2024
Arnett Moultrie,PHI,PF,1.7,0.149,2013
Arnett Moultrie,PHI,PF,0.0,0.007,2014
Arnoldas Kulboka,CHO,SF,0.0,-0.217,2022
Aron Baynes,SAS,C,0.1,0.05,2013
Aron Baynes,SAS,C,0.6,0.055,2014
Aron Baynes,SAS,C,3.9,0.166,2015
Aron Baynes,DET,C,4.1,0.158,2016
Aron Baynes,DET,C,3.0,0.123,2017
Aron Baynes,BOS,C,3.0,0.097,2018
Aron Baynes,BOS,C,2.3,0.136,2019
Aron Baynes,PHO,C,2.1,0.107,2020
Aron Baynes,TOR,C,1.0,0.049,2021
Arron Afflalo,DEN,SG,5.3,0.121,2012
Arron Afflalo,ORL,SF,2.0,0.042,2013
Arron Afflalo,ORL,SG,5.3,0.099,2014
Arron Afflalo,2TM,SG,2.6,0.05,2015
Arron Afflalo,NYK,SG,2.7,0.055,2016
Arron Afflalo,SAC,SG,1.4,0.043,2017
Arron Afflalo,ORL,SG,0.1,0.009,2018
Ashton Hagans,MIN,PG,0.0,-0.353,2021
Ashton Hagans,POR,PG,0.0,0.006,2024
Ausar Thompson,DET,SF,1.8,0.053,2024
Austin Daye,DET,SF,-0.6,-0.05,2012
Austin Daye,2TM,SF,1.6,0.117,2013
Austin Daye,2TM,SF,0.1,0.047,2014
Austin Daye,2TM,SF,0.0,-0.001,2015
Austin Reaves,LAL,SG,2.9,0.097,2022
Austin Reaves,LAL,SG,5.4,0.142,2023
Austin Reaves,LAL,SG,5.9,0.108,2024
Austin Rivers,NOH,SG,-1.1,-0.038,2013
Austin Rivers,NOP,PG,0.6,0.023,2014
Austin Rivers,2TM,SG,1.5,0.046,2015
Austin Rivers,LAC,SG,1.9,0.063,2016
Austin Rivers,LAC,SG,2.5,0.059,2017
Austin Rivers,LAC,SG,2.4,0.056,2018
Austin Rivers,2TM,SG,1.2,0.028,2019
Austin Rivers,HOU,SG,2.4,0.072,2020
Austin Rivers,2TM,SG,1.3,0.072,2021
Austin Rivers,DEN,SG,1.2,0.037,2022
Austin Rivers,MIN,SG,1.3,0.061,2023
Avery Bradley,BOS,PG,2.4,0.085,2012
Avery Bradley,BOS,PG,0.4,0.012,2013
Avery Bradley,BOS,SG,1.8,0.046,2014
Avery Bradley,BOS,SG,2.5,0.049,2015
Avery Bradley,BOS,SG,4.8,0.09,2016
Avery Bradley,BOS,SG,3.1,0.081,2017
Avery Bradley,2TM,SG,-0.2,-0.007,2018
Avery Bradley,2TM,SG,0.3,0.009,2019
Avery Bradley,LAL,SG,1.5,0.062,2020
Avery Bradley,2TM,SG,-0.1,-0.008,2021
Avery Bradley,LAL,SG,1.2,0.04,2022
Axel Toupane,DEN,SF,0.3,0.049,2016
Axel Toupane,2TM,SF,0.1,0.061,2017
Axel Toupane,MIL,SF,0.1,0.097,2021
Ayo Dosunmu,CHI,SG,3.0,0.069,2022
Ayo Dosunmu,CHI,SG,2.9,0.067,2023
Ayo Dosunmu,CHI,SG,4.1,0.089,2024
B.J. Johnson,2TM,SF,0.1,0.066,2019
B.J. Johnson,ORL,SF,-0.1,-0.074,2020
B.J. Johnson,ORL,SF,0.1,0.065,2022
Bam Adebayo,MIA,C,4.2,0.148,2018
Bam Adebayo,MIA,C,6.8,0.171,2019
Bam Adebayo,MIA,PF,8.5,0.168,2020
Bam Adebayo,MIA,C,8.8,0.197,2021
Bam Adebayo,MIA,C,7.2,0.188,2022
Bam Adebayo,MIA,C,7.4,0.137,2023
Bam Adebayo,MIA,C,7.2,0.144,2024
Baron Davis,NYK,PG,0.2,0.014,2012
Ben Bentil,DAL,PF,-0.1,-0.473,2017
Ben Gordon,DET,SG,1.7,0.058,2012
Ben Gordon,CHA,SG,-0.6,-0.018,2013
Ben Gordon,CHA,SG,-0.3,-0.058,2014
Ben Gordon,ORL,SG,0.3,0.015,2015
Ben Hansbrough,IND,PG,0.2,0.044,2013
Ben McLemore,SAC,SG,0.8,0.016,2014
Ben McLemore,SAC,SG,2.5,0.045,2015
Ben McLemore,SAC,SG,0.3,0.01,2016
Ben McLemore,SAC,SG,0.4,0.015,2017
Ben McLemore,MEM,SG,0.5,0.023,2018
Ben McLemore,SAC,SG,0.2,0.055,2019
Ben McLemore,HOU,SF,3.3,0.099,2020
Ben McLemore,2TM,SG,0.2,0.013,2021
Ben McLemore,POR,SG,0.8,0.031,2022
Ben Moore,IND,PF,0.0,0.072,2018
Ben Sheppard,IND,SG,0.8,0.046,2024
Ben Simmons,PHI,PG,9.2,0.162,2018
Ben Simmons,PHI,PG,8.2,0.146,2019
Ben Simmons,PHI,PG,6.9,0.165,2020
Ben Simmons,PHI,PG,6.0,0.153,2021
Ben Simmons,BRK,PG,2.2,0.097,2023
Ben Simmons,BRK,PG,1.0,0.133,2024
Ben Uzoh,2TM,PG,0.2,0.032,2012
Ben Wallace,DET,C,1.4,0.07,2012
Bennedict Mathurin,IND,SG,1.8,0.038,2023
Bennedict Mathurin,IND,SF,1.4,0.045,2024
Beno Udrih,MIL,SG,1.4,0.061,2012
Beno Udrih,2TM,SG,2.2,0.071,2013
Beno Udrih,2TM,SG,0.8,0.061,2014
Beno Udrih,MEM,PG,3.6,0.115,2015
Beno Udrih,2TM,PG,0.4,0.029,2016
Beno Udrih,DET,PG,1.3,0.113,2017
Bernard James,DAL,C,1.2,0.125,2013
Bernard James,DAL,C,0.1,0.04,2014
Bernard James,DAL,C,0.5,0.165,2015
Bilal Coulibaly,WAS,SF,0.4,0.013,2024
Billy Garrett,NYK,SG,0.0,-0.019,2019
Bismack Biyombo,CHA,C,0.6,0.019,2012
Bismack Biyombo,CHA,C,1.4,0.031,2013
Bismack Biyombo,CHA,C,3.2,0.144,2014
Bismack Biyombo,CHO,C,4.0,0.156,2015
Bismack Biyombo,TOR,C,5.9,0.156,2016
Bismack Biyombo,ORL,C,2.9,0.077,2017
Bismack Biyombo,ORL,C,2.9,0.094,2018
Bismack Biyombo,CHO,C,2.0,0.125,2019
Bismack Biyombo,CHO,C,2.4,0.113,2020
Bismack Biyombo,CHO,C,2.3,0.081,2021
Bismack Biyombo,PHO,C,1.8,0.17,2022
Bismack Biyombo,PHO,C,1.9,0.102,2023
Bismack Biyombo,2TM,C,1.1,0.066,2024
Blake Ahearn,UTA,PG,-0.2,-0.315,2012
Blake Griffin,LAC,PF,9.2,0.185,2012
Blake Griffin,LAC,PF,10.6,0.196,2013
Blake Griffin,LAC,PF,12.2,0.205,2014
Blake Griffin,LAC,PF,9.0,0.183,2015
Blake Griffin,LAC,PF,3.8,0.156,2016
Blake Griffin,LAC,PF,7.7,0.179,2017
Blake Griffin,2TM,PF,4.9,0.12,2018
Blake Griffin,DET,PF,8.0,0.147,2019
